gene_id,mod_num,mod_color
ENSG00000172594,3,brown
ENSG00000172765,2,blue
ENSG00000172795,3,brown
ENSG00000172840,3,brown
ENSG00000172845,3,brown
ENSG00000172878,7,black
ENSG00000172893,3,brown
ENSG00000172915,7,black
ENSG00000172965,2,blue
ENSG00000173083,2,blue
ENSG00000173085,2,blue
ENSG00000173110,2,blue
ENSG00000173114,7,black
ENSG00000173171,2,blue
ENSG00000173193,2,blue
ENSG00000173200,2,blue
ENSG00000173218,8,pink
ENSG00000173281,2,blue
ENSG00000173334,2,blue
ENSG00000173482,8,pink
ENSG00000173530,7,black
ENSG00000173535,2,blue
ENSG00000173559,2,blue
ENSG00000173597,2,blue
ENSG00000173614,2,blue
ENSG00000173825,2,blue
ENSG00000173848,7,black
ENSG00000173890,3,brown
ENSG00000173930,2,blue
ENSG00000174007,2,blue
ENSG00000174099,2,blue
ENSG00000174125,3,brown
ENSG00000174130,2,blue
ENSG00000174132,2,blue
ENSG00000174136,7,black
ENSG00000174171,3,brown
ENSG00000174206,2,blue
ENSG00000174238,2,blue
ENSG00000174306,3,brown
ENSG00000174500,7,black
ENSG00000174529,2,blue
ENSG00000174600,8,pink
ENSG00000174718,3,brown
ENSG00000174749,3,brown
ENSG00000174885,2,blue
ENSG00000174917,2,blue
ENSG00000175029,2,blue
ENSG00000175066,8,pink
ENSG00000175106,3,brown
ENSG00000175137,2,blue
ENSG00000175197,3,brown
ENSG00000175283,2,blue
ENSG00000175471,3,brown
ENSG00000175538,2,blue
ENSG00000175564,3,brown
ENSG00000175701,2,blue
ENSG00000175764,3,brown
ENSG00000175792,3,brown
ENSG00000175928,2,blue
ENSG00000176049,8,pink
ENSG00000176160,2,blue
ENSG00000176422,3,brown
ENSG00000176463,2,blue
ENSG00000176485,8,pink
ENSG00000176531,7,black
ENSG00000176593,3,brown
ENSG00000176595,2,blue
ENSG00000176597,3,brown
ENSG00000176619,3,brown
ENSG00000176749,2,blue
ENSG00000176783,2,blue
ENSG00000176788,2,blue
ENSG00000176928,7,black
ENSG00000177112,2,blue
ENSG00000177125,2,blue
ENSG00000177156,2,blue
ENSG00000177191,2,blue
ENSG00000177272,3,brown
ENSG00000177311,8,pink
ENSG00000177409,3,brown
ENSG00000177410,2,blue
ENSG00000177483,3,brown
ENSG00000177570,7,black
ENSG00000177721,2,blue
ENSG00000177842,2,blue
ENSG00000177885,2,blue
ENSG00000178035,2,blue
ENSG00000178038,7,black
ENSG00000178075,3,brown
ENSG00000178104,2,blue
ENSG00000178199,3,brown
ENSG00000178202,2,blue
ENSG00000178562,7,black
ENSG00000178695,3,brown
ENSG00000178726,2,blue
ENSG00000178904,2,blue
ENSG00000178935,2,blue
ENSG00000178966,3,brown
ENSG00000178996,2,blue
ENSG00000179218,3,brown
ENSG00000179222,3,brown
ENSG00000179271,2,blue
ENSG00000179299,2,blue
ENSG00000179456,2,blue
ENSG00000179715,7,black
ENSG00000179915,2,blue
ENSG00000179978,2,blue
ENSG00000179988,2,blue
ENSG00000180096,2,blue
ENSG00000180221,2,blue
ENSG00000180304,2,blue
ENSG00000180353,2,blue
ENSG00000180354,2,blue
ENSG00000180370,2,blue
ENSG00000180385,3,brown
ENSG00000180509,2,blue
ENSG00000180549,2,blue
ENSG00000180573,2,blue
ENSG00000180644,8,pink
ENSG00000180739,8,pink
ENSG00000180871,2,blue
ENSG00000180879,2,blue
ENSG00000180953,2,blue
ENSG00000181016,2,blue
ENSG00000181029,2,blue
ENSG00000181035,3,brown
ENSG00000181036,8,pink
ENSG00000181045,3,brown
ENSG00000181104,8,pink
ENSG00000181215,8,pink
ENSG00000181274,2,blue
ENSG00000181284,2,blue
ENSG00000181481,2,blue
ENSG00000181631,2,blue
ENSG00000181690,7,black
ENSG00000181751,3,brown
ENSG00000181754,7,black
ENSG00000181778,2,blue
ENSG00000181826,2,blue
ENSG00000181847,2,blue
ENSG00000182022,2,blue
ENSG00000182054,3,brown
ENSG00000182108,2,blue
ENSG00000182117,2,blue
ENSG00000182134,3,brown
ENSG00000182165,2,blue
ENSG00000182173,8,pink
ENSG00000182183,7,black
ENSG00000182197,2,blue
ENSG00000182220,3,brown
ENSG00000182230,7,black
ENSG00000182308,2,blue
ENSG00000182318,3,brown
ENSG00000182389,2,blue
ENSG00000182463,7,black
ENSG00000182511,2,blue
ENSG00000182534,8,pink
ENSG00000182541,2,blue
ENSG00000182568,7,black
ENSG00000182782,2,blue
ENSG00000182866,2,blue
ENSG00000182885,2,blue
ENSG00000182923,2,blue
ENSG00000182986,2,blue
ENSG00000183023,2,blue
ENSG00000183208,3,brown
ENSG00000183283,2,blue
ENSG00000183323,2,blue
ENSG00000183444,3,brown
ENSG00000183542,8,pink
ENSG00000183621,2,blue
ENSG00000183625,2,blue
ENSG00000183662,2,blue
ENSG00000183688,2,blue
ENSG00000183690,3,brown
ENSG00000183691,7,black
ENSG00000183734,8,pink
ENSG00000183784,3,brown
ENSG00000183813,7,black
ENSG00000184005,3,brown
ENSG00000184014,2,blue
ENSG00000184271,7,black
ENSG00000184428,3,brown
ENSG00000184557,2,blue
ENSG00000184588,2,blue
ENSG00000184602,2,blue
ENSG00000184613,7,black
ENSG00000184860,7,black
ENSG00000184903,2,blue
ENSG00000185101,7,black
ENSG00000185201,2,blue
ENSG00000185261,2,blue
ENSG00000185345,7,black
ENSG00000185361,3,brown
ENSG00000185420,3,brown
ENSG00000185442,2,blue
ENSG00000185591,2,blue
ENSG00000185621,2,blue
ENSG00000185650,2,blue
ENSG00000185697,8,pink
ENSG00000185813,2,blue
ENSG00000185862,2,blue
ENSG00000185880,3,brown
ENSG00000185909,2,blue
ENSG00000185950,2,blue
ENSG00000186073,2,blue
ENSG00000186153,3,brown
ENSG00000186205,2,blue
ENSG00000186222,2,blue
ENSG00000186260,7,black
ENSG00000186431,2,blue
ENSG00000186481,2,blue
ENSG00000186496,3,brown
ENSG00000186529,2,blue
ENSG00000186594,2,blue
ENSG00000186854,7,black
ENSG00000186908,3,brown
ENSG00000187024,8,pink
ENSG00000187091,3,brown
ENSG00000187554,2,blue
ENSG00000187695,2,blue
ENSG00000187792,3,brown
ENSG00000188001,8,pink
ENSG00000188042,2,blue
ENSG00000188070,3,brown
ENSG00000188158,2,blue
ENSG00000188186,2,blue
ENSG00000188211,8,pink
ENSG00000188227,2,blue
ENSG00000188315,2,blue
ENSG00000188404,2,blue
ENSG00000188522,3,brown
ENSG00000188559,2,blue
ENSG00000188596,2,blue
ENSG00000188649,2,blue
ENSG00000188895,2,blue
ENSG00000188906,2,blue
ENSG00000189067,2,blue
ENSG00000189077,2,blue
ENSG00000189159,2,blue
ENSG00000189233,8,pink
ENSG00000189283,7,black
ENSG00000189337,2,blue
ENSG00000189350,8,pink
ENSG00000189362,2,blue
ENSG00000196083,2,blue
ENSG00000196154,3,brown
ENSG00000196155,7,black
ENSG00000196352,2,blue
ENSG00000196440,3,brown
ENSG00000196502,2,blue
ENSG00000196549,2,blue
ENSG00000196562,2,blue
ENSG00000196586,8,pink
ENSG00000196663,2,blue
ENSG00000196782,2,blue
ENSG00000196839,8,pink
ENSG00000196968,8,pink
ENSG00000197043,3,brown
ENSG00000197057,8,pink
ENSG00000197077,8,pink
ENSG00000197081,2,blue
ENSG00000197208,2,blue
ENSG00000197329,2,blue
ENSG00000197442,2,blue
ENSG00000197457,7,black
ENSG00000197471,3,brown
ENSG00000197497,2,blue
ENSG00000197540,8,pink
ENSG00000197555,2,blue
ENSG00000197579,3,brown
ENSG00000197635,7,black
ENSG00000197712,2,blue
ENSG00000197852,2,blue
ENSG00000197872,2,blue
ENSG00000197930,3,brown
ENSG00000197943,2,blue
ENSG00000197951,3,brown
ENSG00000197965,2,blue
ENSG00000197971,2,blue
ENSG00000197989,2,blue
ENSG00000198189,3,brown
ENSG00000198223,2,blue
ENSG00000198270,2,blue
ENSG00000198355,2,blue
ENSG00000198363,2,blue
ENSG00000198420,2,blue
ENSG00000198431,2,blue
ENSG00000198574,8,pink
ENSG00000198585,2,blue
ENSG00000198590,3,brown
ENSG00000198604,3,brown
ENSG00000198648,8,pink
ENSG00000198673,2,blue
ENSG00000198690,2,blue
ENSG00000198734,2,blue
ENSG00000198736,2,blue
ENSG00000198756,8,pink
ENSG00000198814,2,blue
ENSG00000198821,3,brown
ENSG00000198833,3,brown
ENSG00000198846,8,pink
ENSG00000198851,3,brown
ENSG00000198885,8,pink
ENSG00000198898,3,brown
ENSG00000198908,2,blue
ENSG00000198915,8,pink
ENSG00000198932,7,black
ENSG00000198937,2,blue
ENSG00000199135,2,blue
ENSG00000203497,2,blue
ENSG00000203644,3,brown
ENSG00000203710,2,blue
ENSG00000203721,2,blue
ENSG00000203814,2,blue
ENSG00000203999,2,blue
ENSG00000204020,3,brown
ENSG00000204054,2,blue
ENSG00000204160,2,blue
ENSG00000204219,7,black
ENSG00000204271,7,black
ENSG00000204386,2,blue
ENSG00000204389,2,blue
ENSG00000204472,3,brown
ENSG00000204482,2,blue
ENSG00000204934,7,black
ENSG00000205133,3,brown
ENSG00000205138,2,blue
ENSG00000205269,3,brown
ENSG00000205336,8,pink
ENSG00000205423,3,brown
ENSG00000205930,7,black
ENSG00000206199,2,blue
ENSG00000206344,2,blue
ENSG00000206503,2,blue
ENSG00000206561,3,brown
ENSG00000206965,2,blue
ENSG00000207117,2,blue
ENSG00000209042,2,blue
ENSG00000211455,3,brown
ENSG00000211670,8,pink
ENSG00000211689,8,pink
ENSG00000211694,8,pink
ENSG00000211695,8,pink
ENSG00000211696,8,pink
ENSG00000211716,2,blue
ENSG00000211734,7,black
ENSG00000211751,2,blue
ENSG00000211772,2,blue
ENSG00000211789,2,blue
ENSG00000211829,8,pink
ENSG00000211844,3,brown
ENSG00000211847,3,brown
ENSG00000211849,3,brown
ENSG00000211850,3,brown
ENSG00000211856,3,brown
ENSG00000211857,3,brown
ENSG00000211858,2,blue
ENSG00000211859,3,brown
ENSG00000211860,3,brown
ENSG00000211862,3,brown
ENSG00000211863,3,brown
ENSG00000211864,3,brown
ENSG00000211865,3,brown
ENSG00000211866,3,brown
ENSG00000211869,3,brown
ENSG00000211870,3,brown
ENSG00000211871,3,brown
ENSG00000211872,3,brown
ENSG00000211873,2,blue
ENSG00000211877,2,blue
ENSG00000211878,3,brown
ENSG00000211880,2,blue
ENSG00000211882,3,brown
ENSG00000211883,2,blue
ENSG00000211884,3,brown
ENSG00000211885,3,brown
ENSG00000211886,3,brown
ENSG00000212743,2,blue
ENSG00000213066,2,blue
ENSG00000213071,8,pink
ENSG00000213073,2,blue
ENSG00000213085,2,blue
ENSG00000213145,2,blue
ENSG00000213337,2,blue
ENSG00000213347,2,blue
ENSG00000213366,3,brown
ENSG00000213390,2,blue
ENSG00000213420,7,black
ENSG00000213462,2,blue
ENSG00000213465,2,blue
ENSG00000213613,2,blue
ENSG00000213626,3,brown
ENSG00000213722,2,blue
ENSG00000213809,8,pink
ENSG00000213930,7,black
ENSG00000214189,3,brown
ENSG00000214212,2,blue
ENSG00000214293,2,blue
ENSG00000214439,3,brown
ENSG00000214456,2,blue
ENSG00000215114,2,blue
ENSG00000215126,3,brown
ENSG00000215190,2,blue
ENSG00000215301,3,brown
ENSG00000215424,2,blue
ENSG00000215717,3,brown
ENSG00000215788,7,black
ENSG00000217128,2,blue
ENSG00000217555,2,blue
ENSG00000218809,2,blue
ENSG00000220517,8,pink
ENSG00000221829,3,brown
ENSG00000221869,2,blue
ENSG00000221926,3,brown
ENSG00000221963,2,blue
ENSG00000222057,2,blue
ENSG00000222365,2,blue
ENSG00000222831,2,blue
ENSG00000223117,2,blue
ENSG00000223745,3,brown
ENSG00000223865,2,blue
ENSG00000223891,2,blue
ENSG00000224078,2,blue
ENSG00000224152,2,blue
ENSG00000224307,2,blue
ENSG00000224356,2,blue
ENSG00000224505,2,blue
ENSG00000224597,3,brown
ENSG00000224745,3,brown
ENSG00000224959,2,blue
ENSG00000225205,8,pink
ENSG00000225528,3,brown
ENSG00000225611,2,blue
ENSG00000225783,8,pink
ENSG00000225873,2,blue
ENSG00000225889,2,blue
ENSG00000225948,7,black
ENSG00000225973,3,brown
ENSG00000225975,2,blue
